skill_set,skill_set_encode
agile coaching,agile_coaching
agile leadership,agile_leadership
agile management,agile_management
agile methodology,agile_methodology
agile modeling,agile_modeling
agile project management,agile_project_management
agile projects,agile_projects
agile software development,agile_software_development
agile testing,agile_testing
backlogs,backlogs
behavior-driven development,behavior-driven_development
disciplined agile delivery,disciplined_agile_delivery
dynamic systems development methods,dynamic_systems_development_methods
extreme programming,extreme_programming
feature-driven development (fdd),feature-driven_development_(fdd)
iterative incremental development,iterative_incremental_development
jira,jira
jira align,jira_align
oracle agile,oracle_agile
pair programming,pair_programming
pivotal tracker (software),pivotal_tracker_(software)
product backlog grooming,product_backlog_grooming
rally software,rally_software
rallydev,rallydev
rapid application development,rapid_application_development
redmine,redmine
scaled agile framework,scaled_agile_framework
scrum (software development),scrum_(software_development)
sprint backlogs,sprint_backlogs
sprint planning,sprint_planning
sprint retrospectives,sprint_retrospectives
story point estimation,story_point_estimation
test-driven development (tdd),test-driven_development_(tdd)
timeboxing,timeboxing
unified process,unified_process
versionone,versionone
zenhub,zenhub
.net remoting,.net_remoting
amazon api gateway,amazon_api_gateway
amazon product advertising api,amazon_product_advertising_api
api design,api_design
api gateway,api_gateway
api management,api_management
api throttling,api_throttling
application development system online (adso),application_development_system_online_(adso)
application programming interface (api),application_programming_interface_(api)
aspose,aspose
aws appsync,aws_appsync
azure api apps,azure_api_apps
azure api management,azure_api_management
box api,box_api
camera api,camera_api
content repository api java,content_repository_api_java
core api,core_api
core audio,core_audio
direct3d,direct3d
document.write,document.write
facebook api,facebook_api
facebook graph api,facebook_graph_api
fastapi,fastapi
generic buffer management,generic_buffer_management
google apis,google_apis
graphics apis,graphics_apis
graphics device interface,graphics_device_interface
hardware platform interface,hardware_platform_interface
hasura graphql engine,hasura_graphql_engine
hateoas,hateoas
java advanced imaging,java_advanced_imaging
java api restful web services,java_api_restful_web_services
java api xml processing,java_api_xml_processing
java api xml registries,java_api_xml_registries
java persistence api,java_persistence_api
java remote method invocation,java_remote_method_invocation
java transaction api,java_transaction_api
javamail,javamail
libvirt,libvirt
linkedin api,linkedin_api
location apis,location_apis
mbeans (java apis),mbeans_(java_apis)
microsoft ui automation,microsoft_ui_automation
mobile rich media ad interface definitions (mraid),mobile_rich_media_ad_interface_definitions_(mraid)
native api,native_api
netbios,netbios
object linking embedding - database (ole db),object_linking_embedding_-_database_(ole_db)
openapi,openapi
openapi specification,openapi_specification
opencl,opencl
openmax,openmax
openmp,openmp
pluggable authentication module (pam),pluggable_authentication_module_(pam)
posix threads,posix_threads
postman api platform,postman_api_platform
remote application platform,remote_application_platform
rest api development,rest_api_development
rest client,rest_client
resteasy (jboss),resteasy_(jboss)
restful api,restful_api
social media apis,social_media_apis
software adapters,software_adapters
strongloop,strongloop
swagger ui,swagger_ui
task parallel library (.net framework),task_parallel_library_(.net_framework)
vulkan graphics api,vulkan_graphics_api
wcf rest,wcf_rest
wcf/web api,wcf/web_api
webrtc,webrtc
windows api,windows_api
wordpress rest api,wordpress_rest_api
workflow apis,workflow_apis
3d reconstruction,3d_reconstruction
activity recognition,activity_recognition
adaboost (adaptive boosting),adaboost_(adaptive_boosting)
adversarial machine learning,adversarial_machine_learning
aiops (artificial intelligence operations),aiops_(artificial_intelligence_operations)
amazon textract,amazon_textract
apache mahout,apache_mahout
apache mxnet,apache_mxnet
apache singa,apache_singa
applications artificial intelligence,applications_artificial_intelligence
artificial intelligence,artificial_intelligence
artificial intelligence development,artificial_intelligence_development
artificial intelligence markup language (aiml),artificial_intelligence_markup_language_(aiml)
artificial intelligence systems,artificial_intelligence_systems
artificial neural networks,artificial_neural_networks
association rule learning,association_rule_learning
autoencoders,autoencoders
automated machine learning,automated_machine_learning
aws sagemaker,aws_sagemaker
azure cognitive services,azure_cognitive_services
azure machine learning,azure_machine_learning
baidu,baidu
boosting,boosting
caffe,caffe
caffe2,caffe2
chatbot,chatbot
classification regression tree (cart),classification_regression_tree_(cart)
cognitive automation,cognitive_automation
cognitive computing,cognitive_computing
cognitive robotics,cognitive_robotics
collaborative filtering,collaborative_filtering
computational intelligence,computational_intelligence
confusion matrix,confusion_matrix
convolutional neural networks,convolutional_neural_networks
cortana,cortana
cudnn,cudnn
dask (software),dask_(software)
deep learning,deep_learning
deep learning methods,deep_learning_methods
deeplearning,deeplearning
dialog systems,dialog_systems
dlib,dlib
ensemble methods,ensemble_methods
evolutionary acquisition neural topologies,evolutionary_acquisition_neural_topologies
expert systems,expert_systems
fast.ai,fast.ai
feature engineering,feature_engineering
feature extraction,feature_extraction
feature learning,feature_learning
feature selection,feature_selection
game ai,game_ai
general-purpose computing graphics processing units,general-purpose_computing_graphics_processing_units
genetic algorithm,genetic_algorithm
gesture recognition,gesture_recognition
google automl,google_automl
gradient boosting,gradient_boosting
h2o.ai,h2o.ai
hidden markov modelinference engine,hidden_markov_modelinference_engine
intelligent agent,intelligent_agent
intelligent control,intelligent_control
intelligent systems,intelligent_systems
intelligent virtual assistant,intelligent_virtual_assistant
interactive kiosk,interactive_kiosk
ipsoft amelia,ipsoft_amelia
kaldi,kaldi
keras (neural network library),keras_(neural_network_library)
kernel methods,kernel_methods
knowledge-based configuration,knowledge-based_configuration
knowledge-based systems,knowledge-based_systems
kubeflow,kubeflow
long short-term memory (lstm),long_short-term_memory_(lstm)
machine learning,machine_learning
machine learning algorithms,machine_learning_algorithms
machine learning methods,machine_learning_methods
meta learning,meta_learning
microsoft cognitive toolkit (cntk),microsoft_cognitive_toolkit_(cntk)
microsoft luis,microsoft_luis
mlflow,mlflow
mlops (machine learning operations),mlops_(machine_learning_operations)
mlpack (c++ library),mlpack_(c++_library)
multi-agent systems,multi-agent_systems
nvidia jetson,nvidia_jetson
objective function,objective_function
omnipage,omnipage
open neural network exchange (onnx),open_neural_network_exchange_(onnx)
openai gym,openai_gym
opencv,opencv
openvino,openvino
paddlepaddle,paddlepaddle
pydata,pydata
pytorch (machine learning library),pytorch_(machine_learning_library)
random forest algorithm,random_forest_algorithm
reasoning systems,reasoning_systems
recommender systems,recommender_systems
recurrent neural network (rnn),recurrent_neural_network_(rnn)
reinforcement learning,reinforcement_learning
scikit-learn (machine learning library),scikit-learn_(machine_learning_library)
semi-supervised learning,semi-supervised_learning
seq2seq,seq2seq
sorting algorithm,sorting_algorithm
speech recognition software,speech_recognition_software
speech synthesis,speech_synthesis
supervised learning,supervised_learning
support vector machine,support_vector_machine
tensorflow,tensorflow
test datasets,test_datasets
text-to-speech,text-to-speech
theano (software),theano_(software)
torch (machine learning),torch_(machine_learning)
training datasets,training_datasets
transfer learning,transfer_learning
unsupervised learning,unsupervised_learning
voice assistant technology,voice_assistant_technology
voice interaction,voice_interaction
voice user interface,voice_user_interface
vowpal wabbit,vowpal_wabbit
watson conversation,watson_conversation
watson studio,watson_studio
xgboost,xgboost
apacheranger,apacheranger
atomicityconsistencyisolationdurability(acid),atomicityconsistencyisolationdurability(acid)
automaticstoragemanagement,automaticstoragemanagement
changedatacapture(cdc),changedatacapture(cdc)
dataaccess,dataaccess
databuildtool,databuildtool
datapartitioning,datapartitioning
datastrategy,datastrategy
datavaultmodeling,datavaultmodeling
databaseactivitymonitoring,databaseactivitymonitoring
databaseadministration,databaseadministration
databasearchitecture,databasearchitecture
databasecloning,databasecloning
databasecluster,databasecluster
databaseconnection,databaseconnection
databaseconsistency,databaseconsistency
databaseconsolecommands(dbcc),databaseconsolecommands(dbcc)
databaseconsolidation,databaseconsolidation
